,index,date,time,tweet,language,parse,Category
2077,2077,26/02/2022,02:30:29,sydesjokes aroon173 eh54_lainey greycells jackkosovac sarahwest2012 darayuskaye jamesbrown95 harry_m_h fortelford jymbudd carmelbarrett91 annjarvis13 leegorman35 slh100 smebanker tabooze marigarcar brexitturmoil following brexit begat ww iii brexitjohnsonrussia,en,sydesjokes aroon173 eh54_lainey greycells jackkosovac sarahwest2012 darayuskaye jamesbrown95 harry_m_h fortelford jymbudd carmelbarrett91 annjarvis13 leegorman35 slh100 smebanker tabooze marigarcar brexitturmoil following brexit begat ww iii brexitjohnsonrussia,_
2078,2078,26/02/2022,02:30:20,bradsherman dont push everyone hard dont use un better way avoid biggest human history,en,bradsherman dont push everyone hard dont use un better way avoid biggest human history,_
2079,2079,26/02/2022,02:30:05,christ teaches soon armageddon bible says dont masterfardmuhammad must make order prove civilization …,en,christ teaches soon armageddon bible says dont masterfardmuhammad must make order prove civilization …,_
2080,2080,26/02/2022,02:29:57,whole life ive spent afraid russians taking overstarting 7th grade history teacher told crazy paranoid 13 guess whos paranoid standwithukriane,en,whole life ive spent afraid russians taking overstarting 7th grade history teacher told crazy paranoid 13 guess whos paranoid standwithukriane,_
2081,2081,26/02/2022,02:28:48,3 begins waiting 🥰🥰😀🤣🤣 lets putinswar wars,en,3 begins waiting 🥰🥰😀🤣🤣 lets putinswar wars,_
2082,2082,26/02/2022,02:27:43,sake humanity 🙏🙏 humanity natoinukrainenow,en,sake humanity 🙏🙏 humanity natoinukrainenow,_
2083,2083,26/02/2022,02:27:20,take seeds put pockets least sunflowers grow lie quote political cartoon talking sunflower every apush textbook next year,en,take seeds put pockets least sunflowers grow lie quote political cartoon talking sunflower every apush textbook next year,_
2084,2084,26/02/2022,02:26:43,launches operation warinukraine mumbaiuncensored uncensoredlive,en,launches operation warinukraine mumbaiuncensored uncensoredlive,_
2085,2085,26/02/2022,02:26:41,funny also reality natomustbeinukraine,en,funny also reality natomustbeinukraine,_
2086,2086,26/02/2022,02:26:01,looks throwing everything kitchen sink prayingforukraine 💥,en,looks throwing everything kitchen sink prayingforukraine 💥,_
2087,2087,26/02/2022,02:24:56,universe remember heroic knocks terrific situations 👨‍✈️💚💚💚 unsc,en,universe remember heroic knocks terrific situations 👨‍✈️💚💚💚 unsc,_
2088,2088,26/02/2022,02:24:16,ths n leadrs r supportn n th russianinvasion spineless leaders dnt give damn 2 thse puppets f 2 take place thse b rembered unitednations bidenboom,en,ths n leadrs r supportn n th russianinvasion spineless leaders dnt give damn 2 thse puppets f 2 take place thse b rembered unitednations bidenboom,_
2089,2089,26/02/2022,02:23:38,covid19 went italy 🇮🇹 rest history 😖💔 sandf wherever💔 gonna repetition 🤦🏼‍️ venda brics shoprite putsouthafricanfirst djsbu,en,covid19 went italy 🇮🇹 rest history 😖💔 sandf wherever💔 gonna repetition 🤦🏼‍️ venda brics shoprite putsouthafricanfirst djsbu,_
2090,2090,26/02/2022,02:23:36,tell thing yeh se exams online hojayege🌝😂,en,tell thing yeh se exams online hojayege🌝😂,_
2091,2091,26/02/2022,02:23:29,needs z fighters,en,needs z fighters,_
2092,2092,26/02/2022,02:22:56,loosing profits due manual operations bookkeeping install robisearch pos system mpesa bulk sms integratedmanage salessuppliers etc watch👇 masculinitysaturday moses kuria kasarani gaddafi state house kisumu county governor,en,loosing profits due manual operations bookkeeping install robisearch pos system mpesa bulk sms integratedmanage salessuppliers etc watch👇 masculinitysaturday moses kuria kasarani gaddafi state house kisumu county governor,_
2093,2093,26/02/2022,02:22:46,simple effective,en,simple effective,_
